#Position (bp)	mapping quality
2.9886091E7	0.0
3.0047202E7	0.0
3.0208313E7	42.0
3.0369424E7	42.0
3.0530535E7	0.0
3.0691646E7	0.0
3.0852757E7	0.0
3.1013868E7	0.0
3.1174979E7	0.0
3.133609E7	42.0
3.1497201E7	41.99736740895623
3.1658312E7	42.0
3.1819423E7	41.99340156489107
3.1980534E7	41.95222836134975
3.2141645E7	41.99983859810929
3.2302756E7	41.99985929742514
3.2463867E7	41.99991709369991
3.2624978E7	41.98748286816608
3.2786089E7	41.98333410849108
3.29472E7	41.99511844697717
3.3108311E7	41.971551200192124
3.3269422E7	41.706012785893705
3.3430533E7	41.999881145082234
3.3591644E7	41.99894214806785
3.3752755E7	41.976138444273815
3.3913866E7	42.0
3.4074977E7	42.0
3.4236088E7	42.0
3.4397199E7	41.997660969027116
3.455831E7	41.993429521046664
3.4719421E7	41.989394719628116
3.4880532E7	41.98802821058026
3.5041643E7	41.99347462407374
3.5202754E7	41.985309184046834
3.5363865E7	41.82901427586689
3.5524976E7	41.995140392843396
3.5686087E7	41.997889133526535
3.5847198E7	41.996238600122396
3.6008309E7	41.991705764075064
3.616942E7	41.93360611181108
3.6330531E7	42.0
3.6491642E7	42.0
3.6652753E7	41.99423381065408
3.6813864E7	41.99916403541934
3.6974975E7	41.96959827129996
3.7136086E7	41.85835879642067
3.7297197E7	41.999554260789274
3.7458308E7	41.98735558550001
3.7619419E7	42.0
3.778053E7	41.96644083032311
3.7941641E7	42.0
3.8102752E7	41.99961678132813
3.8263863E7	41.99829205807003
3.8424974E7	42.0
3.8586085E7	41.99993549229363
3.8747196E7	41.99515032288414
3.8908307E7	41.820033961108656
3.9069418E7	41.99585590757418
3.9230529E7	0.0
3.939164E7	0.0
3.9552751E7	0.0
3.9713862E7	0.0
3.9874973E7	0.0
4.0036084E7	0.0
4.0197195E7	42.0
4.0358306E7	0.0
4.0519417E7	0.0
4.0680528E7	41.99538566332921
4.0841639E7	0.0
4.100275E7	42.0
4.1163861E7	41.978822162946564
4.1324972E7	41.999957351125815
4.1486083E7	42.0
4.1647194E7	0.0
4.1808305E7	0.0
4.1969416E7	42.0
4.2130527E7	41.999647977336444
4.2291638E7	41.999650166171065
4.2452749E7	42.0
4.261386E7	42.0
4.2774971E7	41.99927464898192
4.2936082E7	42.0
4.3097193E7	0.0
4.3258304E7	42.0
4.3419415E7	42.0
4.3580526E7	41.99748845433877
4.3741637E7	41.9998116059694
4.3902748E7	42.0
4.4063859E7	41.99978400950358
4.422497E7	41.99984487362741
4.4386081E7	41.99980804090474
4.4547192E7	41.9998792836346
